Pertanyaan,Jawaban
Mata kuliah penciri nasional itu maksudnya apa dan contohnya apa aja?,"A. Mata Kuliah Penciri Nasional terdiri dari Pancasila, Pendidikan Kewarganegaraan, Bahasa Indonesia, Pendidikan Agama"
Kalau mata kuliah penciri universitas itu gimana?,"B. Mata Kuliah Penciri Universitas
1. Susastra Weda 3 SKS
2. Bahasa Sanskerta 3 SKS
3. Bahasa Bali 2 SKS
4. Moderasi Beragama 2 SKS
5. Bahasa Inggris 2 SKS"
"Lulusan Informatika bisa kerja jadi apa aja, sih?","Lulusan Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar dapat menjadi Programming and Software Development, baik menjadi AI Engineer maupun Software Engineer.
Lulusan Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar juga dapat menjadi Instruktur Dan Asisten Peneliti Bidang Informatika/Ilmu Komputer.
Seorang AI Engineer akan bekerja dalam merancang, membangun, dan mengimplementasikan sistem kecerdasan buatan (Artificial Intelligence), termasuk machine learning, deep learning, natural language processing, dan computer vision, dengan menggunakan bahasa pemrograman seperti Python serta pustaka seperti TensorFlow dan PyTorch. Mahasiswa akan belajar bagaimana mengolah data, melatih model, mengevaluasi performa, dan mengintegrasikan solusi AI ke dalam sistem nyata.
Seorang Software Engineer bertugas untuk merancang, membangun, menguji, dan memelihara sistem atau aplikasi perangkat lunak yang efisien, andal, dan mudah digunakan. Pekerjaan ini mencakup berbagai aktivitas mulai dari menulis kode program, merancang arsitektur sistem, melakukan debugging (perbaikan bug), hingga menerapkan pengujian perangkat lunak untuk memastikan kualitas dan stabilitas aplikasi. Software engineer bekerja dengan berbagai bahasa pemrograman seperti Java, Python, C++, atau JavaScript, serta menggunakan framework dan alat bantu seperti React, Node.js, atau Spring Boot sesuai kebutuhan proyek. Mereka juga terlibat dalam pengelolaan basis data (SQL/NoSQL), integrasi antarsistem, dan penggunaan tools DevOps seperti Git, Docker, dan CI/CD pipelines. Dalam lingkungan kerja, mereka sering berkolaborasi dalam tim menggunakan metodologi agile atau scrum. Software engineer dapat bekerja di berbagai sektor industri, mengembangkan aplikasi web, mobile, desktop, sistem backend, hingga sistem enterprise dan perangkat lunak khusus (custom software) untuk kebutuhan bisnis atau pemerintahan.
Seorang Asisten Peneliti di bidang Informatika atau Ilmu Komputer berperan dalam membantu pelaksanaan riset ilmiah yang berkaitan dengan teknologi informasi, komputasi, dan aplikasi digital. Tugas utamanya meliputi pengumpulan dan analisis data, implementasi algoritma, pemrograman eksperimen, pembuatan prototipe sistem, serta penyusunan laporan dan publikasi ilmiah. Asisten peneliti sering bekerja di bawah bimbingan dosen, peneliti senior, atau lembaga riset untuk mendukung pengembangan teknologi baru, seperti kecerdasan buatan, sistem cerdas, pemrosesan data besar (big data), keamanan siber. Mereka diharapkan memiliki kemampuan teknis yang kuat, seperti penguasaan bahasa pemrograman (Python, C++, PHP, atau Javascript, dsb), penggunaan alat statistik dan machine learning, serta pemahaman tentang metodologi penelitian. Selain itu, asisten peneliti juga harus mampu bekerja secara kolaboratif, teliti dalam dokumentasi, dan aktif dalam diskusi akademik atau seminar ilmiah. Posisi ini ideal bagi lulusan baru yang ingin mendalami dunia riset dan akademik, atau melanjutkan studi ke jenjang yang lebih tinggi.
Lulusan Program Studi Informatika UHN I Gusti Bagus Sugriwa Denpasar dipersiapkan untuk menjadi tenaga profesional di bidang teknologi informasi yang lebih dari sekadar operator atau tenaga administrasi kantor. Dengan kompetensi inti sebagai AI Engineer, Software Engineer, Instruktur TIK, dan Asisten Peneliti Bidang Informatika/Ilmu Komputer, lulusan dibekali kemampuan teknis dan analitis tingkat tinggi, termasuk pemrograman, pengembangan sistem cerdas, perancangan perangkat lunak, serta riset dan inovasi berbasis data. Kurikulum yang disusun juga mengikuti perkembangan teknologi terkini seperti machine learning, data science, cloud computing, keamanan siber, dan pengembangan aplikasi multiplatform. Dengan demikian, lulusan memiliki kualifikasi untuk menciptakan solusi teknologi, bukan hanya menjalankan sistem yang ada. Hal ini menunjukkan bahwa lulusan Informatika diarahkan menjadi pencipta teknologi, problem solver, dan kontributor aktif dalam dunia digital, bukan sekadar pengguna atau pelaksana administratif. Maka dari itu, prospek kerja mereka terbuka luas di berbagai sektor teknologi dan industri kreatif, tidak terbatas pada peran administratif di perkantoran."
Di semester 1 biasanya belajar mata kuliah apa aja?,"Algoritma Pemrograman, Pengenalan Pemrograman, Logika Matematika, Jaringan Komputer, Kalkulus, Bahasa Inggris.
Mata kuliah Algoritma Pemrograman diajarkan pada semester 1. Matakuliah Algoritma Pemrograman  membahas konsep dasar algoritma dan penerapannya dalam pemrograman. Mahasiswa akan mempelajari cara merancang solusi pemecahan masalah menggunakan struktur algoritma yang efisien, termasuk struktur data dasar, perulangan, percabangan, dan rekursi. Mata kuliah ini menjadi fondasi penting dalam pengembangan logika pemrograman dan pembuatan program yang optimal.
Mata kuliah Pengenalan Pemrograman diajarkan pada semester 1. Matakuliah Pengenalan Pemrograman memberikan pengantar tentang dasar-dasar pemrograman komputer. Mahasiswa akan diperkenalkan pada konsep sintaks dan semantik bahasa pemrograman, struktur kontrol (seperti percabangan dan perulangan), penggunaan variabel, fungsi, serta debugging. Tujuan utamanya adalah membangun pemahaman awal dan keterampilan dasar dalam menulis kode program.
Mata kuliah Logika Matematika diajarkan pada semester 1. Matakuliah Logika Matematika mempelajari dasar-dasar logika formal yang digunakan dalam ilmu komputer, seperti proposisi, logika predikat, tabel kebenaran, inferensi logis, serta teori himpunan dan relasi. Mahasiswa akan dilatih berpikir sistematis dan rasional dalam menganalisis dan memvalidasi argumen, yang sangat penting untuk pengembangan algoritma dan desain sistem.
Mata kuliah Jaringan Komputer diajarkan pada semester 1. Matakuliah Jaringan Komputer membahas prinsip dasar komunikasi data dan jaringan komputer. Topik mencakup arsitektur jaringan, model OSI dan TCP/IP, protokol jaringan, pengalamatan IP, routing, dan keamanan jaringan. Mahasiswa akan memahami bagaimana komputer saling terhubung dan bertukar data dalam berbagai skala jaringan.
Mata kuliah Kalkulus diajarkan pada semester 1. Matakuliah Kalkulus membahas konsep dasar kalkulus diferensial dan integral yang digunakan dalam analisis matematis di bidang informatika. Topik mencakup limit, turunan, integral, fungsi multivariat, serta aplikasinya dalam pemodelan dan analisis sistem dinamis. Pemahaman kalkulus berguna dalam bidang seperti grafika komputer, machine learning, dan simulasi.
Mata kuliah Bahasa Inggris diajarkan di semester 1. Matakuliah Bahasa Inggris dirancang untuk meningkatkan kemampuan berbahasa Inggris mahasiswa, terutama dalam konteks akademik dan profesional. Fokus utama mencakup keterampilan membaca teks teknis, menulis laporan, serta komunikasi lisan dalam diskusi dan presentasi. Penguasaan bahasa Inggris sangat penting untuk mengakses literatur ilmiah dan berkomunikasi di industri global. """
"Mata kuliah Algoritma Pemrograman itu ngapain aja, ya?","Mata kuliah Algoritma Pemrograman diajarkan pada semester 1. Matakuliah Algoritma Pemrograman  membahas konsep dasar algoritma dan penerapannya dalam pemrograman. Mahasiswa akan mempelajari cara merancang solusi pemecahan masalah menggunakan struktur algoritma yang efisien, termasuk struktur data dasar, perulangan, percabangan, dan rekursi. Mata kuliah ini menjadi fondasi penting dalam pengembangan logika pemrograman dan pembuatan program yang optimal."
Pengenalan Pemrograman itu isinya belajar apa?,"Mata kuliah Pengenalan Pemrograman diajarkan pada semester 1. Matakuliah Pengenalan Pemrograman memberikan pengantar tentang dasar-dasar pemrograman komputer. Mahasiswa akan diperkenalkan pada konsep sintaks dan semantik bahasa pemrograman, struktur kontrol (seperti percabangan dan perulangan), penggunaan variabel, fungsi, serta debugging. Tujuan utamanya adalah membangun pemahaman awal dan keterampilan dasar dalam menulis kode program."
"Logika Matematika itu beneran ribet tidak, sih?","Mata kuliah Logika Matematika diajarkan pada semester 1. Matakuliah Logika Matematika mempelajari dasar-dasar logika formal yang digunakan dalam ilmu komputer, seperti proposisi, logika predikat, tabel kebenaran, inferensi logis, serta teori himpunan dan relasi. Mahasiswa akan dilatih berpikir sistematis dan rasional dalam menganalisis dan memvalidasi argumen, yang sangat penting untuk pengembangan algoritma dan desain sistem."
Mata kuliah Jaringan Komputer itu ngebahas soal apa?,"Mata kuliah Jaringan Komputer diajarkan pada semester 1. Matakuliah Jaringan Komputer membahas prinsip dasar komunikasi data dan jaringan komputer. Topik mencakup arsitektur jaringan, model OSI dan TCP/IP, protokol jaringan, pengalamatan IP, routing, dan keamanan jaringan. Mahasiswa akan memahami bagaimana komputer saling terhubung dan bertukar data dalam berbagai skala jaringan."
"Kalkulus di Informatika itu seperti apa, beda tidak sama di MIPA?","Mata kuliah Kalkulus diajarkan pada semester 1. Matakuliah Kalkulus membahas konsep dasar kalkulus diferensial dan integral yang digunakan dalam analisis matematis di bidang informatika. Topik mencakup limit, turunan, integral, fungsi multivariat, serta aplikasinya dalam pemodelan dan analisis sistem dinamis. Pemahaman kalkulus berguna dalam bidang seperti grafika komputer, machine learning, dan simulasi."
Bahasa Inggris di Prodi Informatika itu lebih fokus ke hal-hal apa?,"Terdapat 3 matakuliah Bahasa di Prodi Informatika, yaitu Bahasa Indonesia, Bahasa Inggris, Bahasa Bali, dan Bahasa Sansekerta.
Mata kuliah Bahasa Inggris diajarkan di semester 1. Matakuliah Bahasa Inggris dirancang untuk meningkatkan kemampuan berbahasa Inggris mahasiswa, terutama dalam konteks akademik dan profesional. Fokus utama mencakup keterampilan membaca teks teknis, menulis laporan, serta komunikasi lisan dalam diskusi dan presentasi. Penguasaan bahasa Inggris sangat penting untuk mengakses literatur ilmiah dan berkomunikasi di industri global. 
Matakuliah Bahasa Bali diajarkan pada semester 6. Mata kuliah Bahasa Bali memberikan pemahaman mengenai Bahasa Bali baik secara lisan maupun tulisan, termasuk struktur kebahasaan, ragam tingkat tutur, serta konteks budaya dan sosial. Mahasiswa akan dilatih menggunakan Bahasa Bali dalam komunikasi akademik maupun profesional sebagai bentuk pelestarian budaya lokal. Matakuliah Bahasa Bali merupakan matakuliah wajib yang diikuti oleh seluruh mahasiswa di UHN Sugriwa.
Matakuliah Bahasa Sansekerta diajarkan di semester 7. Matakuliah Bahasa Sansekerta memperkenalkan dasar-dasar tata bahasa, kosakata, dan struktur kalimat dalam Bahasa Sansekerta. Mahasiswa akan memahami peran Bahasa Sansekerta dalam kebudayaan, agama, dan sejarah Indonesia, serta penggunaannya dalam teks-teks kuno, terutama dalam konteks pelestarian nilai-nilai budaya Hindu. Matakuliah Bahasa Sansekerta merupakan matakuliah wajib yang diikuti oleh seluruh mahasiswa di UHN Sugriwa.
Matakuliah Bahasa Indonesia diajarkan di semester 7 sebagai bagian dari persiapan untuk menulis tugas akhir. Mata kuliah Bahasa Indonesia dirancang untuk membekali mahasiswa dengan keterampilan berbahasa Indonesia yang baik dan benar dalam konteks akademik dan profesional, khususnya sebagai persiapan menghadapi penulisan karya ilmiah seperti skripsi. Materi meliputi kaidah tata bahasa, struktur penulisan ilmiah, penggunaan bahasa yang logis dan efektif, serta teknik menyusun laporan, proposal, dan artikel ilmiah. Mahasiswa juga dilatih untuk membaca dan menulis secara kritis serta mengungkapkan gagasan secara sistematis dan komunikatif. Melalui mata kuliah ini, mahasiswa diharapkan mampu menghasilkan karya tulis ilmiah yang sesuai dengan standar akademik dan mencerminkan pemahaman mendalam terhadap bidang informatika."
"Pas semester 2, mata kuliah yang dipelajari apa aja?","Pada Semester 2 terdapat matakuliah Struktur Data, Sistem Operasi, Organisasi dan Arsitektur Komputer, Aljabar Linier, Basis Data, Statistika. 
Mata kuliah Struktur Data diajarkan pada semester 2. Matakuliah  Struktur Data membahas konsep dan implementasi berbagai struktur data seperti array, linked list, stack, queue, tree, dan graph, serta algoritma manipulasi data yang efisien. Mahasiswa akan mempelajari bagaimana memilih dan menerapkan struktur data yang tepat untuk menyelesaikan berbagai masalah komputasi, serta menganalisis kompleksitas waktu dan ruang dari algoritma yang digunakan.
Mata kuliah Sistem Operasi diajarkan pada semester 2. Matakuliah Sistem Operasi membahas prinsip dan komponen utama sistem operasi, termasuk manajemen proses, manajemen memori, sistem file, dan penjadwalan. Mahasiswa akan memahami bagaimana sistem operasi mengatur sumber daya komputer dan menyediakan antarmuka antara perangkat keras dan perangkat lunak. Studi kasus sistem operasi seperti Linux dan Windows juga akan diperkenalkan.
Mata kuliah Organisasi dan Arsitektur Komputer diajarkan pada semester 2. Matakuliah Organisasi dan Arsitektur Komputer mempelajari cara kerja internal komputer mulai dari level perangkat keras hingga interaksinya dengan perangkat lunak. Topik mencakup sistem bilangan, unit aritmatika dan logika, register, instruksi mesin, bus, memori, serta organisasi CPU. Mahasiswa akan memahami bagaimana arsitektur komputer memengaruhi performa dan efisiensi sistem komputasi.
Mata kuliah Aljabar Linier diajarkan di semester 2. Matakuliah Aljabar Linier memberikan pemahaman tentang konsep dasar aljabar linier seperti vektor, matriks, sistem persamaan linier, transformasi linier, dan ruang vektor. Penekanan diberikan pada aplikasinya dalam bidang informatika, termasuk grafika komputer, machine learning, dan pemrosesan sinyal digital.
Mata kuliah Basis Data diajarkan pada semester 2. Mata kuliah Basis Data membahas konsep dasar sistem basis data, model data relasional, perancangan basis data, bahasa SQL, normalisasi, dan manajemen transaksi. Mahasiswa akan mempelajari cara merancang dan mengimplementasikan basis data yang efisien dan konsisten, serta memahami prinsip-prinsip pengelolaan data dalam sistem informasi.
Mata kuliah Statistika dianjarkan di Semester 2. Matakuliah statistika mengenalkan konsep dasar statistika deskriptif dan inferensial, termasuk ukuran pemusatan data, penyebaran, distribusi probabilitas, uji hipotesis, dan regresi. Mahasiswa akan memahami bagaimana mengumpulkan, menganalisis, dan menginterpretasikan data dalam konteks komputasi dan ilmu data."
Mata kuliah Struktur Data itu seru tidak sih?,"Mata kuliah Struktur Data diajarkan pada semester 2. Matakuliah  Struktur Data membahas konsep dan implementasi berbagai struktur data seperti array, linked list, stack, queue, tree, dan graph, serta algoritma manipulasi data yang efisien. Mahasiswa akan mempelajari bagaimana memilih dan menerapkan struktur data yang tepat untuk menyelesaikan berbagai masalah komputasi, serta menganalisis kompleksitas waktu dan ruang dari algoritma yang digunakan."
Sistem Operasi itu maksudnya kita belajar apa?,"Mata kuliah Sistem Operasi diajarkan pada semester 2. Matakuliah Sistem Operasi membahas prinsip dan komponen utama sistem operasi, termasuk manajemen proses, manajemen memori, sistem file, dan penjadwalan. Mahasiswa akan memahami bagaimana sistem operasi mengatur sumber daya komputer dan menyediakan antarmuka antara perangkat keras dan perangkat lunak. Studi kasus sistem operasi seperti Linux dan Windows juga akan diperkenalkan."
Organisasi dan Arsitektur Komputer itu belajarnya tentang apa?,"Mata kuliah Organisasi dan Arsitektur Komputer diajarkan pada semester 2. Matakuliah Organisasi dan Arsitektur Komputer mempelajari cara kerja internal komputer mulai dari level perangkat keras hingga interaksinya dengan perangkat lunak. Topik mencakup sistem bilangan, unit aritmatika dan logika, register, instruksi mesin, bus, memori, serta organisasi CPU. Mahasiswa akan memahami bagaimana arsitektur komputer memengaruhi performa dan efisiensi sistem komputasi."
Di Aljabar Linier kita bakal ketemu materi seperti gimana?,"Mata kuliah Aljabar Linier diajarkan di semester 2. Matakuliah Aljabar Linier memberikan pemahaman tentang konsep dasar aljabar linier seperti vektor, matriks, sistem persamaan linier, transformasi linier, dan ruang vektor. Penekanan diberikan pada aplikasinya dalam bidang informatika, termasuk grafika komputer, machine learning, dan pemrosesan sinyal digital."
"Basis Data itu belajar nyimpen data doang, atau ada hal lain juga?","Mata kuliah Basis Data diajarkan pada semester 2. Mata kuliah Basis Data membahas konsep dasar sistem basis data, model data relasional, perancangan basis data, bahasa SQL, normalisasi, dan manajemen transaksi. Mahasiswa akan mempelajari cara merancang dan mengimplementasikan basis data yang efisien dan konsisten, serta memahami prinsip-prinsip pengelolaan data dalam sistem informasi."
Matakuliah Statistika itu penting tidak sih buat anak Informatika?,"Mata kuliah Statistika dianjarkan di Semester 2. Matakuliah statistika mengenalkan konsep dasar statistika deskriptif dan inferensial, termasuk ukuran pemusatan data, penyebaran, distribusi probabilitas, uji hipotesis, dan regresi. Mahasiswa akan memahami bagaimana mengumpulkan, menganalisis, dan menginterpretasikan data dalam konteks komputasi dan ilmu data."
"Kalau masuk semester 3, kira-kira ketemu mata kuliah apa aja?","Moderasi Beragama, Kompleksitas Algoritma, Rekayasa Perangkat Lunak, Human-Computer Interaction, Analisis dan Desain Perangkat Lunak, Etika dan Profesi, Keamanan Data. Mahasiswa mengambil Mata kuliah Keamanan Data pada semester 3. Matakuliah Keamanan Data membahas prinsip, metode, dan teknik dasar dalam melindungi data dan informasi dari berbagai ancaman keamanan. Topik mencakup kriptografi, autentikasi, otorisasi, keamanan jaringan, dan kebijakan keamanan informasi. Mahasiswa diharapkan mampu merancang sistem yang aman dan memahami risiko serta perlindungan terhadap serangan siber.
Mahasiswa mengambil Mata kuliah Moderasi Beragama pada semester 3. Matakuliah Moderasi Beragama mengembangkan pemahaman dan sikap moderat dalam kehidupan beragama dengan menekankan pada nilai toleransi, anti-kekerasan, cinta tanah air, dan penghargaan terhadap kebhinekaan. Mahasiswa akan diajak untuk memahami peran teknologi dan informatika dalam mendukung kehidupan sosial yang inklusif dan harmonis di tengah masyarakat majemuk.
Mahasiswa mengambil Mata kuliah Kompleksitas Algoritma pada semester 3. Matakuliah Kompleksitas Algoritma  membahas analisis efisiensi algoritma dalam hal waktu dan ruang komputasi. Mahasiswa akan mempelajari notasi Big-O, Big-Ω, dan Big-Θ, serta pendekatan algoritma seperti divide and conquer, greedy, dan dynamic programming. Tujuannya adalah mengembangkan kemampuan merancang solusi algoritmik yang efisien untuk masalah komputasi kompleks.
Mata kuliah Rekayasa Perangkat Lunak diambil oleh mahasiswa pada semester 3. Mata kuliah Rekayasa Perangkat Lunak membahas proses rekayasa perangkat lunak dari analisis kebutuhan, perancangan, implementasi, pengujian, hingga pemeliharaan. Mahasiswa diperkenalkan pada metodologi pengembangan perangkat lunak seperti waterfall, agile, dan DevOps, serta prinsip-prinsip manajemen proyek perangkat lunak.
Mata kuliah Human-Computer Interaction (HCI)  diambil oleh mahasiswa pada semester 3.  Mata kuliah Human-Computer Interaction (HCI) membahas interaksi antara manusia dan sistem komputer dengan fokus pada aspek usability, user experience (UX), serta desain antarmuka pengguna. Mahasiswa akan mempelajari prinsip desain yang berorientasi pengguna, evaluasi kegunaan, dan teknik prototyping antarmuka interaktif.
Mata kuliah Analisis dan Desain Perangkat Lunak diambil oleh mahasiswa pada semester 3. Mata kuliah Analisis dan Desain Perangkat Lunak berfokus pada teknik analisis kebutuhan pengguna dan perancangan sistem perangkat lunak menggunakan pendekatan terstruktur maupun berorientasi objek. Mahasiswa akan belajar menggunakan alat bantu seperti UML (Unified Modeling Language) dan diagram perancangan untuk merancang sistem yang berkualitas dan mudah dikembangkan.
Mata kuliah Etika dan Profesi diambil oleh mahasiswa pada semester 3. Mata kuliah Etika dan Profesi membahas etika profesi dalam bidang teknologi informasi dan tanggung jawab sosial seorang profesional informatika. Topik mencakup hak kekayaan intelektual, privasi data, hukum siber, dan kode etik profesi. Mahasiswa akan diajak untuk berpikir kritis dan etis dalam menghadapi dilema teknologi di masyarakat."
Mata kuliah Keamanan Data dan Informasi itu ngapain aja sih?,"Mahasiswa mengambil Mata kuliah Keamanan Data pada semester 3. Matakuliah Keamanan Data membahas prinsip, metode, dan teknik dasar dalam melindungi data dan informasi dari berbagai ancaman keamanan. Topik mencakup kriptografi, autentikasi, otorisasi, keamanan jaringan, dan kebijakan keamanan informasi. Mahasiswa diharapkan mampu merancang sistem yang aman dan memahami risiko serta perlindungan terhadap serangan siber."
"Moderasi Beragama, isinya belajar apa dalam konteks informatika?","Mahasiswa mengambil Mata kuliah Moderasi Beragama pada semester 3. Matakuliah Moderasi Beragama mengembangkan pemahaman dan sikap moderat dalam kehidupan beragama dengan menekankan pada nilai toleransi, anti-kekerasan, cinta tanah air, dan penghargaan terhadap kebhinekaan. Mahasiswa akan diajak untuk memahami peran teknologi dan informatika dalam mendukung kehidupan sosial yang inklusif dan harmonis di tengah masyarakat majemuk."
Kompleksitas Algoritma itu sekompleks namanya tidak?,"Mahasiswa mengambil Mata kuliah Kompleksitas Algoritma pada semester 3. Matakuliah Kompleksitas Algoritma  membahas analisis efisiensi algoritma dalam hal waktu dan ruang komputasi. Mahasiswa akan mempelajari notasi Big-O, Big-Ω, dan Big-Θ, serta pendekatan algoritma seperti divide and conquer, greedy, dan dynamic programming. Tujuannya adalah mengembangkan kemampuan merancang solusi algoritmik yang efisien untuk masalah komputasi kompleks."
Rekayasa Perangkat Lunak itu kita ngapain aja?,"Mata kuliah Rekayasa Perangkat Lunak diambil oleh mahasiswa pada semester 3. Mata kuliah Rekayasa Perangkat Lunak membahas proses rekayasa perangkat lunak dari analisis kebutuhan, perancangan, implementasi, pengujian, hingga pemeliharaan. Mahasiswa diperkenalkan pada metodologi pengembangan perangkat lunak seperti waterfall, agile, dan DevOps, serta prinsip-prinsip manajemen proyek perangkat lunak."
Human-Computer Interaction (HCI) itu sebenarnya belajar tentang apa?,"Mata kuliah Human-Computer Interaction (HCI)  diambil oleh mahasiswa pada semester 3.  Mata kuliah Human-Computer Interaction (HCI) membahas interaksi antara manusia dan sistem komputer dengan fokus pada aspek usability, user experience (UX), serta desain antarmuka pengguna. Mahasiswa akan mempelajari prinsip desain yang berorientasi pengguna, evaluasi kegunaan, dan teknik prototyping antarmuka interaktif."
Analisis dan Desain Perangkat Lunak itu isinya lebih ke teori atau praktik?,Mata kuliah Analisis dan Desain Perangkat Lunak diambil oleh mahasiswa pada semester 3. Mata kuliah Analisis dan Desain Perangkat Lunak berfokus pada teknik analisis kebutuhan pengguna dan perancangan sistem perangkat lunak menggunakan pendekatan terstruktur maupun berorientasi objek. Mahasiswa akan belajar menggunakan alat bantu seperti UML (Unified Modeling Language) dan diagram perancangan untuk merancang sistem yang berkualitas dan mudah dikembangkan.
Etika dan Profesi itu maksudnya biar kita jadi programmer yang etis?,"Mata kuliah Etika dan Profesi diambil oleh mahasiswa pada semester 3. Mata kuliah Etika dan Profesi membahas etika profesi dalam bidang teknologi informasi dan tanggung jawab sosial seorang profesional informatika. Topik mencakup hak kekayaan intelektual, privasi data, hukum siber, dan kode etik profesi. Mahasiswa akan diajak untuk berpikir kritis dan etis dalam menghadapi dilema teknologi di masyarakat."
"Pas semester 4, pelajarannya makin susah tidak ya? Apa aja sih yang dipelajari?","Kecerdasan Buatan, Pemrograman Berorientasi Objek , Pemrograman Berbasis Platform , Penjaminan Kualitas Perangkat Lunak , Cloud Computing, Hukum dan Kebijakan Teknologi Informasi, Komputasi Paralel dan Terdistribusi.
Mata kuliah Kecerdasan Buatan merupakan matakuliah pada semester 4. Matakuliah Kecerdasan Buatan membahas konsep dasar, metode, dan aplikasi dari kecerdasan buatan (Artificial Intelligence). Topik mencakup pencarian heuristik, sistem pakar, logika fuzzy, pembelajaran mesin dasar, dan pengenalan terhadap pemrosesan bahasa alami. Mahasiswa diharapkan dapat merancang solusi cerdas berbasis algoritma AI untuk menyelesaikan masalah nyata.
Mata kuliah  Pemrograman Berorientasi Objek merupakan matakuliah pada semester 4. Matakuliah Pemrograman Berorientasi Objek memperkenalkan paradigma pemrograman berorientasi objek (OOP) dengan menggunakan bahasa pemrograman modern. Mahasiswa akan mempelajari konsep kelas, objek, enkapsulasi, pewarisan, polimorfisme, dan abstraksi, serta implementasinya dalam membangun aplikasi modular dan mudah dipelihara.
Mata kuliah Pemrograman Berbasis Platform merupakan matakuliah pada semester 4. Matakuliah Pemrograman Berbasis Platform membahas teknik pengembangan aplikasi pada berbagai platform seperti desktop, web, dan mobile. Mahasiswa akan mempelajari pemanfaatan framework dan tools pengembangan lintas platform serta prinsip desain antarmuka pengguna yang adaptif terhadap perangkat yang digunakan.
Mata kuliah Penjaminan Kualitas Perangkat Lunak merupakan matakuliah pada semester 4. Matakuliah Penjaminan Kualitas Perangkat Lunak membahas konsep, proses, dan teknik dalam menjamin kualitas perangkat lunak. Topik mencakup pengujian perangkat lunak (testing), validasi dan verifikasi, audit kualitas, serta dokumentasi. Mahasiswa akan memahami pentingnya kontrol kualitas dalam siklus hidup pengembangan perangkat lunak dan menerapkan metode pengujian untuk menjamin keandalannya.
Mata kuliah Cloud Computing merupakan matakuliah pada semester 4. Matakuliah Cloud Computing  mengkaji model komputasi berbasis awan, termasuk infrastruktur sebagai layanan (IaaS), platform sebagai layanan (PaaS), dan perangkat lunak sebagai layanan (SaaS). Mahasiswa akan memahami arsitektur cloud, virtualisasi, manajemen sumber daya cloud, serta pengembangan dan penyebaran aplikasi berbasis cloud.
Mata kuliah Hukum dan Kebijakan Teknologi Informasi merupakan matakuliah pada semester 4. Matakuliah Hukum dan Kebijakan Teknologi Informasi membahas aspek hukum dan kebijakan yang berkaitan dengan penggunaan dan pengembangan teknologi informasi. Topik meliputi perlindungan data pribadi, hak kekayaan intelektual, cybercrime, serta regulasi teknologi digital di tingkat nasional dan global. Mahasiswa diajak untuk memahami tanggung jawab hukum dalam praktik profesional TI.
Mata kuliah Komputasi Paralel dan Terdistribusi merupakan matakuliah pada semester 4. Matakuliah Komputasi Paralel dan Terdistribusi membahas teori dan implementasi komputasi yang dilakukan secara paralel dan terdistribusi untuk meningkatkan efisiensi pemrosesan data. Topik mencakup arsitektur sistem paralel, pemrograman paralel, model komunikasi antar proses, serta pemrosesan terdistribusi berbasis jaringan. Mahasiswa akan dilatih membangun solusi komputasi skala besar yang efisien dan optimal."
